京津冀名胜文化休闲旅游年卡景区目录,,,,,,
景区名称,票价,"使用
次数",使用规则,,,
"2022年度力荐景区
点击景区名称查看景区电话",,,,,,
【独家】石景山新年冰雪嘉年华,120,限1次,接待时间为元旦前后，具体时间以景区官方公示为准,,,
【独家】坡峰岭,30,限1次,"2022.04.01-2022.09.15
08:00-17:00
须提前在“京津冀旅游年票”公众号预约",,,
【独家】阳台山自然风景区 3A,10,不限次,"2022.01.01-2022.12.31
08:00-16:00",,,
【独家】北京后花园（白虎涧）风景区,60,限1次,"2022.01.01-2022.12.31
08:00-17:00
国家法定节假日及小长假期间持卡无效；团队无效",,,
【独家】北京清凉谷风景区 3A,50,不限次,"2022.01.01-2022.12.31
08:30-17:30，17:00停止入园
五一、端午、十一法定节假日期间持卡无效",,,
北京凤凰岭自然风景区 4A,25,限3次,"2022.01.01-2022.12.31
08:30-17:30
清明法定节假日期间持卡无效
仅开放部分景区，龙泉寺、桃源观南线景区未开放",,,
北京蟒山国家森林公园 3A,30,不限次,"2022.01.01-2022.12.31
08:00-18:00，16：00停止入场
因冬季防火封山要求，具体开放关闭时间以景区公示为准
国家法定节假日期间须提前在“京津冀旅游年票”公众号预约",,,
西山国家森林公园 3A,10,限5次,"2022.01.01-2022.12.31
08:00-17:00",,,
上方山国家森林公园 3A,40,不限次,"2022.05.01-2022.10.31
春夏季:08:30-17:30，14:30停止入园秋冬季:08:30-15:30，14:30停止入园
提前电话预约010-61315542/010-61315543",,,
百里山水画廊-硅化木景区 4A,30,不限次,"2022.04.10-2022.10.31
09:00-17:00
五一、端午、中秋、十一法定节假日期间持卡无效",,,
百里山水画廊-乌龙峡谷景区 4A,30,不限次,"2022.04.10-2022.10.31
09:00-17:00
五一、端午、中秋、十一法定节假日期间持卡无效",,,
云居寺 4A,40,限3次,"2022.01.01-2022.12.31
09:00-16:00，15:30停止入园",,,
云蒙山风景区 4A,80,不限次,"2022.1.1-2022.12.31
08:30-17:30,15:30停止入场
五一、十一法定节假日期间持卡无效；团队无效
不含摆渡车和缆车，云蒙山若不坐小交通，需从黑龙潭入口刷卡入园，停车场有云蒙山和黑龙潭两个景区的免费往返小交通",,,
黑龙潭风景区 4A,60,不限次,"2022.01.01-2022.12.31
08:30-17:30；15:30停止入场
五一、十一法定节假日期间持卡无效",,,
冶仙塔旅游风景区 3A,70,限1次,"2022.1.1-2022.12.31
08:00-16:30
团队无效",,,
北京张裕爱斐堡国际酒庄 4A,110,限1次,"2022.01.01-2022.12.31
8:30-17:00，16:00停止入园
国家法定节假日期间持卡无效，但可享8.5折优惠、娱乐项目9折优惠；团队无效；仅限参观",,,
