"2022年京津冀旅游一卡通 普通版 99元",,,,,,
序号,景区名称,票价,使用权益,接待时间,,
"优质景区 点击景区名称 查看景区接待详情",,,,,,
1,富国海底世界,150,免1次,"2021.9.1-2021.10.31 法定假期期间无效 不含海狮表演 周六、日不可用 旅行社团队无效",,
2,中央电视塔 4A,90,免1次,"2021.9.1-2021.9.30 2021.11.1-2021.12.28 中秋节假期期间持卡无效 在一卡通官方微信预约",,
3,世界花卉大观园 4A,60,免1次,"2021.9.1-2021.10.31 法定假期期间无效 在一卡通官方微信预约 （不含夜场灯光秀）",,
4,健鼎金辉酒店,198,免1次,"2021.9.15-2021.12.31 法定假期及周六日不可用",,
5,"蓝调庄园温泉 因装修改造 从11月1日起 暂停开放",120,免1次,"2021.9.1-2022.8.31 不含餐，平日免费。 周末及法定节假日期间补50元/人，限4小时，超时补30元/人 在官方微信公众号提前预约方可使用，周六日及节假日无需预约 1.2米以下免费 团队无效",,
6,朝阳公园勇敢者游乐园 4A,120,免1次,"2021.9.1-2022.8.31 六选五：梦幻城堡、4D动感影院、太空漫步、台风体验馆、果虫滑车、童话火车。 中秋，元旦，端午可用，其他法定节假日期间持卡无效 成人儿童均需要持卡",,
7,未来亲子网绳乐园,168,免1次,"2021.9.1-2022.12.31 法定假期期间无效",,
8,健鼎金辉蹦床儿童乐园,256,免1次,"2021.9.15-2021.12.31 需自付运动袜子15元 法定假期期间不可用 周六日需电话预约 免费体验3小时",,
9,门头沟百花山 3A,40,不限次,"2022.5.1-2022.10.18 团队无效",,
10,蟒山森林公园 3A,30,不限次,"2022.3.15-2022.11.15 法定节假日期间需要预约",,
11,"蝴蝶大世界 4A （原七彩蝶园）",70,不限次,"2022.1.1-2022.12.31 郁金香节、菊花节及园内大型活动期间持卡无效",,
12,"北京世园公园 4A (世园会举办地)",40,不限次,"2022.1.1-2022.12.31 持卡1号门、2号门入场",,
13,盘山 5A,78,免1次,"2021.11.1-2021.11.30 2022.3.1-2022.3.31 2022.6.1-2022.6.30",,
14,云佛山滑雪场 4A,148,免1次,"2021.12.1-2022.2.28 具体开园时间以景区为准 平日全天，周末及节假日2小时滑雪，（需缴纳押金300元/人，可退）。需另付10元/人保险费，必佩戴头盔（租赁或自带均可） 不贴照片无效",,
15,蓝调庄园滑雪,168,免3次,"2021.12.1-2022.2.28 含雪具,限时4小时，超时按30元每小时收费，押金200元/人；交10元/人保险，滑雪客人必配戴头盔，用户可自带或者现场租用每个头盔20元；团队无效。1.2米以下儿童半价。 具体以景区开园公告为准",,
16,嘉佑温泉水世界,198,免1次,2021.9.1-2022.8.31,,
17,清西陵-永福寺 5A,135,"通票 免1次","2021.11.1-2022.12.31 清西陵综合服务区游客中心刷卡换票入园",,
18,清西陵-崇陵 5A,,,,,
19,清西陵-慕陵 5A,,,,,
20,清西陵-昌西陵 5A,,,,,
21,清西陵-泰陵 5A,,,,,
22,黑龙潭 4A,60,不限次,"2022.1.1-2022.12.31日 五一、十一期间持卡无效. 团队无效",,
23,云蒙山风景区,80,不限次,"2022.1.1-2022.12.31 五一、十一假期期间持卡无效，团队无效 不含摆渡车和缆车。 云蒙山若不座小交通，需从黑龙潭入口刷卡入园，停车场有云蒙山和黑龙潭两个景区的免费往返小交通。",,
24,圣莲山 4A,60,免3次,2022.4.1-2022.10.31,,
25,八奇洞 4A,54,免1次,2022.1.1-2022.12.31,,
26,"探洞工场（恐龙专线） 丰台区分店",68,免1次,"2021.9.1-2022.10.31 需在一卡通官方微信预约",,
27,天津瓷艺园,50,免1次,"2021.10.1-2022.9.30 周一闭馆",,
"朝阳区 点击景区名称 查看景区接待详情",,,,,,
1,富国海底世界,150,免1次,"2021.9.1-2021.10.31 法定假期期间无效 不含海狮表演 周六、日不可用 旅行社团队无效",,
2,"蓝调庄园温泉
因装修改造
从11月1日起
暂停开放",120,免1次,"2021.9.1-2022.8.31 不含餐，平日免费。 周末及法定节假日期间补50元/人，限4小时，超时补30元/人 在官方微信公众号提前预约方可使用，周六日及节假日无需预约 1.2米以下免费 团队无效",,
3,朝阳公园勇敢者游乐园 4A,120,免1次,"2021.9.1-2022.8.31 六选五：梦幻城堡、4D动感影院、太空漫步、台风体验馆、果虫滑车、童话火车。 中秋，元旦，端午可用，其他法定节假日期间持卡无效 成人儿童均需要持卡",,
4,蓝调庄园滑雪,168,免3次,"2021.12.1-2022.2.28 含雪具,限时4小时，超时按30元每小时收费，押金200元/人；交10元/人保险，滑雪客人必配戴头盔，用户可自带或者现场租用每个头盔20元；团队无效。1.2米以下儿童半价。 具体以景区开园公告为准",,
5,乐卓爱探奇乐园,198,免1次,"2022.1.1-2022.12.31 仅限周六日、法定假期、寒暑假期间接待，平日无效，周一闭馆，需自备防滑袜，适合3-12周岁儿童，在官方微信公众号预约",,
6,蓝调薰衣草庄园 3A,45,免1次,"2022.6.18-2022.10.20 以景区实际开园时间为准",,
7,蟹岛冰雪嘉年华,120,免1次,"2021.12.1-2022.2.28 开园时间以景区为准 包含三个项目：雪地转转1次，雪地香蕉船1次，充气滑梯1次",,
8,月河湾马术俱乐部,128,免1次,"2021.10.1-2021.11.30 2022.3.1-2022.11.30 提前电话预约：18600594911 单独成人不接待",,
9,中国铁道博物馆 3A,20,不限次,"2022.1.1-2022.12.31 周一闭馆",,
10,奥森乐仕堡,60,"免1次 二选一","2021.9.1-2022.12.31 法定假期期间无效",,
11,兴隆公园乐仕堡,60,,,,
12,活的3D壁画馆,75,免1次,2022.1.1-2022.12.31,,
13,数字海洋馆,50,免1次,"2022.1.1-2022.12.31 儿童正常收费 周二闭馆",,
"丰台区 点击景区名称 查看景区接待详情",,,,,,
14,探洞工场丰科万达旗舰店（恐龙专线）,68,免1次,"2021.9.1-2022.10.31 需在一卡通官方微信预约",,
15,世界花卉大观园 4A,60,免1次,"2021.9.1-2021.10.31 法定假期期间无效 在一卡通官方微信预约 （不含夜场灯光秀）",,
16,卢沟桥 3A,20,不限次,"2022.1.1-2022.12.31 活动期间持卡无效",,
17,快乐ZOO星球,198,免1次,"2021.9.1-2022.12.31 儿童大人均需持卡入园 法定假期期间无效 周末限4小时",,
